0,1,2,3,4
0,12.2736911774,12.2332077026,12.2264480591,12.2829408646,12.2322540283
1,12.1998968124,12.1721429825,12.0840396881,12.0945453644,12.0440740585
2,12.321846962,12.3073196411,12.2486820221,12.3305397034,12.2935266495
3,12.203294754,12.1027746201,12.0422210693,12.178735733,12.1196928024
4,12.6039829254,12.6063976288,12.6479549408,12.6218729019,12.5960083008
5,11.9900789261,12.0182094574,11.9100027084,11.9297637939,11.9345741272
6,12.4746923447,12.5053901672,12.5507574081,12.517865181,12.5722703934
7,12.271739006,12.2937440872,12.3618049622,12.2833452225,12.2685070038
8,11.7216701508,11.715379715,11.8000297546,11.9078626633,11.938829422
9,11.6969118118,11.7786121368,11.7111520767,11.7834300995,11.7161426544
10,11.7586641312,11.7768030167,11.7361211777,11.7684173584,11.7996301651
11,12.8996095657,12.8785886765,12.7959165573,13.0178604126,12.8089551926
12,11.7596883774,11.7630500793,11.7724790573,11.7702846527,11.7600345612
13,12.3119897842,12.3008394241,12.289355278,12.3063526154,12.322637558
14,11.8965406418,11.900885582,11.8985404968,11.9107027054,11.9146223068
15,11.8690471649,11.7956218719,11.8496360779,11.7510461807,11.7981681824
16,11.9753303528,11.9691848755,11.9169921875,11.9287014008,11.9021453857
17,11.608716011,11.6302700043,11.5713663101,11.5772743225,11.6242685318
18,11.9330921173,11.901017189,11.9217653275,11.9200954437,11.9342164993
19,11.7222766876,11.7481403351,11.7146701813,11.7406015396,11.8017263412
20,12.703327179,12.6870279312,12.7323293686,12.6477403641,12.6715583801
21,11.7409248352,11.7739076614,11.658987999,11.8074274063,11.7720060349
22,12.2882900238,12.3344049454,12.3454313278,12.3614988327,12.3590726852
23,11.8154115677,11.8204956055,11.8244495392,11.830288887,11.835486412
24,12.0120887756,11.9693517685,11.8933639526,11.86972332,11.8496732712
25,12.4409732819,12.4260015488,12.3977909088,12.470952034,12.4437437057
26,11.7945137024,11.7864589691,11.8227348328,11.7846317291,11.7601747513
27,12.5451946259,12.5604639053,12.6113452911,12.5879926682,12.6117191315
28,12.1414833069,12.188495636,12.1712217331,12.0212564468,12.0204725266
29,11.1993703842,11.1430330276,11.0622377396,11.2295274734,11.162322998
30,11.3366937637,11.3021888733,11.3975143433,11.2284545898,11.3819227219
31,11.8460168839,11.8363037109,11.8004302979,11.8159427643,11.8478746414
32,12.1955928802,12.207988739,12.1802749634,12.326333046,12.2264146805
33,12.0751361847,12.0867643356,12.0793476105,12.068652153,12.0612354279
34,12.5939378738,12.5797700882,12.5995483398,12.6442012787,12.5437641144
35,12.660159111,12.6417350769,12.6466217041,12.617638588,12.619934082
36,11.9636983871,11.9351606369,11.9200296402,11.9099349976,11.9201517105
37,11.91751194,11.9096469879,11.9638242722,11.943230629,11.9314117432
38,11.7029848099,11.7551431656,11.8174352646,11.7975158691,11.7960548401
39,11.3738365173,11.3030347824,11.380074501,11.4113826752,11.426317215
